,Source,Target,Weight
0,Eurystheus,Heracles,21.0
1,Heracles,Eurystheus,19.0
2,Heracles,Hero,12.0
3,Theseus,Man,12.0
4,Heracles,Man,11.0
5,Medea,Jason,11.0
6,Aphrodite,Beauty,10.0
7,Aphrodite,Psyche,10.0
8,Heracles,Strength,10.0
9,Jason,Pelias,9.0
10,Jason,Medea,9.0
11,Heracles,Time,9.0
12,Heracles,King,8.0
13,Olympus,Gods,7.0
14,Dionysus,God,7.0
15,Pelias,King,7.0
16,Argo,Day,7.0
17,Eurystheus,Time,7.0
18,Zeus,Gods,6.0
19,Olympus,Zeus,6.0
20,Aphrodite,Goddess,6.0
21,Psyche,Husband,6.0
22,Apollo,Hyacinthus,6.0
23,Admetus,Time,6.0
24,Pyramus,Thisbe,6.0
25,Polydectes,Perseus,6.0
26,Pelias,Jason,6.0
27,Ino,Athamas,6.0
28,Theseus,Mother,6.0
29,Theseus,Father,6.0
30,Aethra,Son,6.0
31,Heracles,Men,6.0
32,Heracles,Labors,6.0
33,Heracles,Lion,6.0
34,Heracles,Arrow,6.0
35,Heracles,Labor,6.0
36,Heracles,Stables,6.0
37,Minos,Bull,6.0
38,Heracles,Ship,6.0
39,Deianira,Heracles,6.0
40,Apollo,God,5.0
41,Hermes,Cattle,5.0
42,Apollo,Hermes,5.0
43,Apollo,Lyre,5.0
44,Phaethon,Chariot,5.0
45,Persephone,Spring,5.0
46,Zeus,Persephone,5.0
47,Psyche,Aphrodite,5.0
48,Psyche,Cupid,5.0
49,Hyacinthus,Apollo,5.0
50,Prometheus,Man,5.0
51,Admetus,King,5.0
52,Heracles,Mighty,5.0
53,Ninus,Tomb,5.0
54,Meleager,Uncles,5.0
55,Hippomenes,Atalanta,5.0
56,Polydectes,Danae,5.0
57,Perseus,Head,5.0
58,Jason,Cheiron,5.0
59,Heracles,Theseus,5.0
60,Theseus,Stone,5.0
61,Aethra,Theseus,5.0
62,Athens,Theseus,5.0
63,Theseus,People,5.0
64,Labors,Heracles,5.0
65,Heracles,None,5.0
66,Eurystheus,King,5.0
67,Heracles,Arrows,5.0
68,Heracles,Fire,5.0
69,Heracles,Hades,5.0
70,Zeus,Hermes,4.0
71,Apollo,Cattle,4.0
72,Zeus,Olympus,4.0
73,Apollo,Love,4.0
74,Zeus,Phaethon,4.0
75,Phaethon,God,4.0
76,Athene,Goddess,4.0
77,Poseidon,City,4.0
78,Poseidon,Trident,4.0
79,Demeter,Daughter,4.0
80,Hades,Persephone,4.0
81,Psyche,Goddess,4.0
82,Psyche,Myths,4.0
84,Psyche,Wind,4.0
85,Psyche,Sisters,4.0
86,Psyche,Time,4.0
87,Psyche,Lamp,4.0
88,Psyche,River,4.0
89,Aphrodite,Box,4.0
90,Psyche,Voice,4.0
91,Adonis,Spring,4.0
92,Aphrodite,Adonis,4.0
93,Zeus,Prometheus,4.0
94,Prometheus,Epimetheus,4.0
95,Epimetheus,Person,4.0
96,Zeus,Pity,4.0
97,Minos,Daedalus,4.0
98,Minos,Artist,4.0
99,Icarus,Daedalus,4.0
100,Midas,Ears,4.0
101,Pelias,Man,4.0
102,Heracles,Admetus,4.0
103,Heracles,Nothing,4.0
104,Heracles,Wine,4.0
105,Heracles,Queen,4.0
106,Meleager,Althaea,4.0
107,Meleager,Atalanta,4.0
108,Proitos,Bellerophon,4.0
109,Pegasus,Horse,4.0
110,Bellerophon,Pegasus,4.0
111,Cheiron,Jason,4.0
112,Jason,Palace,4.0
113,Phrixus,Helle,4.0
114,Jason,Fleece,4.0
115,Jason,Argo,4.0
116,Argo,Heroes,4.0
117,Heracles,Arms,4.0
118,Pelias,Medea,4.0
119,Pelias,Nothing,4.0
120,Athens,King,4.0
121,Theseus,Time,4.0
122,Theseus,Mighty,4.0
123,Aegeus,King,4.0
124,Athens,Aegeus,4.0
125,Theseus,Pine,4.0
126,Aegeus,Son,4.0
127,Iphicles,Amphitryon,4.0
128,Zeus,Heracles,4.0
129,Heracles,Beast,4.0
131,Heracles,Greek,4.0
132,Heracles,Myths,4.0
133,Heracles,Ground,4.0
